machine_id,timestamp,scenario,engine_rpm,engine_temperature_c,hydraulic_pressure_bar,fuel_consumption_lph,fuel_level_percent,load_percentage,idle_time_minutes,machine_speed_kmh,seatbelt_fastened,operator_present,ambient_temperature_c,humidity_percent,machine_health_score,anomaly_label,refueled
CAT-SIM-EXC-001,2026-01-01 08:00:00,SENSOR_ANOMALY,1743.67,149.89,223.74,9.43,99.98,64.79,4.91,4.13,1,1,34.22,65.71,0.0,1,0
CAT-SIM-EXC-001,2026-01-01 08:01:00,SENSOR_ANOMALY,1732.65,133.45,241.03,9.94,99.94,76.78,2.9,2.98,1,1,33.64,73.01,28.07,1,0
CAT-SIM-EXC-001,2026-01-01 08:02:00,SENSOR_ANOMALY,1853.05,139.35,229.89,8.96,99.92,59.49,4.53,3.48,1,1,35.38,73.84,19.08,1,0
CAT-SIM-EXC-001,2026-01-01 08:03:00,SENSOR_ANOMALY,1693.62,134.56,489.47,9.32,99.88,67.39,2.76,4.58,1,1,34.27,75.74,3.35,1,0
CAT-SIM-EXC-001,2026-01-01 08:04:00,SENSOR_ANOMALY,1663.59,126.07,236.57,8.21,99.86,50.99,0.41,0.04,1,1,33.6,57.9,42.46,1,0
CAT-SIM-EXC-001,2026-01-01 08:05:00,SENSOR_ANOMALY,1729.78,145.26,491.14,8.59,99.84,56.85,1.36,7.72,1,1,35.79,58.13,0.0,1,0
CAT-SIM-EXC-001,2026-01-01 08:06:00,SENSOR_ANOMALY,1684.03,136.33,523.0,8.35,99.81,52.12,0.91,7.48,1,1,32.67,74.76,0.0,1,0
CAT-SIM-EXC-001,2026-01-01 08:07:00,SENSOR_ANOMALY,1700.09,127.48,237.56,7.14,99.8,32.4,2.7,5.47,1,1,34.04,48.77,40.78,1,0
CAT-SIM-EXC-001,2026-01-01 08:08:00,SENSOR_ANOMALY,1655.85,120.2,518.16,7.29,99.77,40.33,1.89,0.31,1,1,35.69,50.14,28.34,1,0
CAT-SIM-EXC-001,2026-01-01 08:09:00,NORMAL,1909.51,93.93,266.36,8.22,99.76,46.94,3.95,1.02,1,1,34.2,58.93,100.0,0,0
CAT-SIM-EXC-001,2026-01-01 08:10:00,NORMAL,1825.21,90.65,248.34,7.79,99.73,41.91,3.39,3.86,1,1,33.33,74.6,98.56,0,0
CAT-SIM-EXC-001,2026-01-01 08:11:00,NORMAL,1919.62,89.44,264.92,9.37,99.69,63.48,1.67,1.78,1,1,34.42,82.85,100.0,0,0
CAT-SIM-EXC-001,2026-01-01 08:12:00,NORMAL,1798.05,87.31,258.02,8.79,99.65,58.33,3.66,1.99,1,1,33.02,79.53,100.0,0,0
CAT-SIM-EXC-001,2026-01-01 08:13:00,NORMAL,1847.84,86.07,247.62,8.25,99.63,49.11,1.72,6.42,1,1,34.56,75.69,100.0,0,0
CAT-SIM-EXC-001,2026-01-01 08:14:00,NORMAL,1841.52,84.45,253.43,7.87,99.6,45.37,9.56,0.46,1,1,33.32,48.02,98.79,0,0
CAT-SIM-EXC-001,2026-01-01 08:15:00,NORMAL,1875.06,83.19,236.89,7.78,99.59,41.19,0.95,1.07,1,1,35.43,54.18,99.69,0,0
CAT-SIM-EXC-001,2026-01-01 08:16:00,NORMAL,1776.4,82.37,258.07,6.96,99.58,32.54,4.16,7.31,1,1,33.21,76.1,99.26,0,0
CAT-SIM-EXC-001,2026-01-01 08:17:00,NORMAL,1803.67,81.61,245.11,7.72,99.57,40.75,1.94,6.65,1,1,33.61,55.06,97.39,0,0
CAT-SIM-EXC-001,2026-01-01 08:18:00,NORMAL,1871.01,81.6,252.9,8.81,99.55,52.19,2.38,3.61,1,1,33.6,76.39,99.81,0,0
CAT-SIM-EXC-001,2026-01-01 08:19:00,NORMAL,1731.32,81.08,266.82,7.67,99.55,43.66,2.64,3.2,1,1,35.24,78.68,100.0,0,0
CAT-SIM-EXC-001,2026-01-01 08:20:00,NORMAL,1823.68,79.78,260.94,6.92,99.53,31.27,1.32,7.15,1,1,34.95,83.92,100.0,0,0
CAT-SIM-EXC-001,2026-01-01 08:21:00,NORMAL,1804.91,79.78,260.39,7.51,99.52,39.44,3.82,0.5,1,1,33.93,65.47,99.13,0,0
CAT-SIM-EXC-001,2026-01-01 08:22:00,NORMAL,1782.65,79.86,230.64,7.6,99.52,39.33,1.32,5.19,1,1,33.89,74.5,100.0,0,0
CAT-SIM-EXC-001,2026-01-01 08:23:00,NORMAL,1791.39,80.05,240.18,7.82,99.5,43.21,2.01,6.81,1,1,35.65,60.15,100.0,0,0
CAT-SIM-EXC-001,2026-01-01 08:24:00,NORMAL,1917.81,80.57,254.39,9.12,99.47,58.44,2.26,5.66,1,1,34.5,73.74,100.0,0,0
CAT-SIM-EXC-001,2026-01-01 08:25:00,NORMAL,1764.71,80.06,235.27,7.03,99.44,33.51,2.79,6.35,1,1,32.68,59.77,100.0,0,0
CAT-SIM-EXC-001,2026-01-01 08:26:00,NORMAL,1813.42,80.23,235.89,7.7,99.41,37.46,7.15,2.53,1,1,34.3,46.92,100.0,0,0
CAT-SIM-EXC-001,2026-01-01 08:27:00,NORMAL,1773.0,80.04,230.62,7.32,99.39,32.66,1.69,2.66,1,1,34.65,66.59,100.0,0,0
CAT-SIM-EXC-001,2026-01-01 08:28:00,NORMAL,1680.79,80.23,249.29,6.68,99.37,34.12,1.83,4.83,1,1,34.8,76.14,100.0,0,0
CAT-SIM-EXC-001,2026-01-01 08:29:00,NORMAL,1862.24,81.06,254.7,8.59,99.34,54.6,3.88,4.74,1,1,35.58,73.65,99.67,0,0
CAT-SIM-EXC-001,2026-01-01 08:30:00,NORMAL,1927.47,81.02,252.5,8.89,99.31,54.32,0.69,6.3,1,1,33.59,51.62,99.93,0,0
CAT-SIM-EXC-001,2026-01-01 08:31:00,NORMAL,1907.08,80.68,251.59,8.62,99.29,53.11,0.98,1.76,1,1,34.6,64.23,100.0,0,0
CAT-SIM-EXC-001,2026-01-01 08:32:00,NORMAL,1892.04,81.66,246.4,9.39,99.25,61.99,2.94,3.02,1,1,34.08,66.4,100.0,0,0
